Operateur,x,y,2G,3G,4G
SFR,159692,6834987,1,1,0
Orange,159711,6834157,1,1,1
SFR,159782,6855222,1,0,0
SFR,159848,6769657,1,1,0
Orange,159852,6769671,1,1,0
Orange,160226,6790903,1,1,0
SFR,160242,6796170,1,1,1
Free,160352,6856028,0,1,1
Orange,160353,6856032,1,1,0
Orange,160624,6828148,1,1,0
Bouygues,160628,6828145,1,1,0
Free,160629,6828146,0,1,1
SFR,160690,6777672,1,1,1
Orange,160693,6777674,1,1,1
Bouygues,160705,6777708,1,1,1
Orange,160726,6776122,1,1,1
Orange,160743,6854160,1,1,0
Bouygues,160785,6795341,1,1,0
Bouygues,161570,6850923,1,1,0
SFR,161610,6850903,1,1,0
Free,161623,6850861,0,1,1
Orange,161632,6850861,1,1,0
Bouygues,161706,6793610,1,1,0
Free,161716,6793632,0,1,1
Bouygues,161933,6832674,1,1,1
Bouygues,162273,6772659,1,1,1
SFR,162281,6772653,1,1,1
Orange,162487,6770074,0,1,0
SFR,162648,6794667,1,1,0
SFR,162772,6841750,1,1,0
Orange,162994,6838745,1,1,1
SFR,163117,6858470,1,1,0
Free,163190,6858456,0,1,0
Orange,163468,6840776,1,1,0
Bouygues,163595,6842726,1,1,0
Orange,163702,6805577,1,1,1
Orange,163703,6843054,1,1,0
Bouygues,163709,6805590,1,1,1
Free,163710,6805590,0,1,1
Bouygues,163742,6796442,1,1,0
SFR,163814,6842341,1,1,1
Free,163836,6842325,0,1,1
Free,163982,6831586,0,1,1
SFR,164011,6831715,1,1,0
Orange,164037,6831762,1,1,1
Free,164103,6771701,0,1,1
SFR,164126,6789264,1,1,1
Orange,164128,6789298,1,1,0
Bouygues,164134,6789263,1,1,1
Free,164135,6789264,0,1,1
Bouygues,164137,6771745,1,1,1
Orange,164139,6771740,1,1,1
SFR,164264,6844971,1,1,1
Orange,164267,6844984,1,0,0
Bouygues,164267,6844986,1,1,1
Free,164267,6844986,0,1,0
Bouygues,164414,6784959,1,1,1
SFR,164419,6784964,1,1,1
SFR,165070,6777851,1,1,1
Orange,165095,6777818,1,1,1
Free,165096,6777813,0,1,1
Bouygues,165101,6777825,1,1,1
Bouygues,165139,6827759,1,0,0
SFR,165159,6827730,1,1,1
Bouygues,165364,6801015,1,1,1
Free,165364,6801016,0,1,1
SFR,165513,6839045,1,0,0
Bouygues,165631,6840486,1,1,0
Free,165637,6840486,0,1,0
Orange,165639,6840489,1,1,1
Orange,165862,6786376,1,1,0
Orange,165992,6798322,1,1,0
Orange,166030,6826292,1,1,0
Orange,167095,6784447,1,1,0
Bouygues,167109,6825075,1,1,0
Free,167167,6825069,0,1,1
Free,167471,6776976,0,1,1
Orange,167472,6776980,1,1,1
Bouygues,167519,6787028,1,1,1
Free,167519,6787028,0,1,1
SFR,167553,6787027,1,1,1
Orange,168415,6787585,1,1,0
Free,168631,6859865,0,1,0
Orange,168632,6859869,1,1,1
Bouygues,168674,6790255,1,1,1
SFR,168679,6790256,1,1,1
Free,168684,6790247,0,1,0
Orange,168686,6790251,1,1,1
Bouygues,168713,6815146,1,1,0
Bouygues,168878,6788866,1,1,1
SFR,168878,6788866,1,1,1
Orange,169026,6793681,1,1,0
Orange,169141,6789018,1,1,1
SFR,169265,6776941,1,1,1
Bouygues,169268,6776941,1,1,1
Orange,169270,6776946,1,1,1
Orange,169522,6811311,0,1,0
Bouygues,169647,6803844,1,1,1
SFR,169647,6803844,1,1,1
Free,169648,6803845,0,1,1
Orange,169921,6789443,1,1,1
Bouygues,169990,6821085,1,1,1
SFR,169990,6821085,1,1,1
Orange,170007,6821092,1,1,0
SFR,170095,6789845,1,0,0
Free,170166,6821193,0,1,1
Bouygues,170270,6859678,1,1,1
SFR,170273,6859684,1,1,1
Orange,170284,6846513,1,0,0
Orange,170428,6790037,1,1,1
Bouygues,170434,6790017,1,1,1
Orange,170507,6791344,1,1,1
Orange,170733,6789441,1,1,0
Bouygues,170783,6788421,1,1,1
SFR,170796,6788400,1,1,1
Orange,170798,6788403,1,1,1
SFR,170851,6789618,1,1,1
Bouygues,170852,6789624,1,1,1
Orange,171198,6789936,1,1,1
Orange,171259,6786799,1,0,0
Orange,171262,6851215,1,1,0
SFR,171272,6791435,1,0,0
Bouygues,171274,6851221,1,1,0
SFR,171274,6851221,1,1,0
Free,171275,6851222,0,1,0
Free,171298,6812658,0,1,1
Bouygues,171311,6791312,1,1,1
SFR,171316,6791314,1,1,1
Orange,171337,6787513,0,0,0
Bouygues,171390,6787545,1,1,1
Bouygues,171404,6864240,1,1,1
Bouygues,171405,6812711,1,1,1
Orange,171412,6864242,1,1,1
SFR,171439,6788897,1,1,1
SFR,171443,6812658,1,1,1
Free,171445,6864236,0,1,1
Bouygues,171456,6788885,1,1,1
Orange,171646,6789010,1,1,0
Orange,171684,6791138,1,1,0
Free,171694,6789013,0,1,1
SFR,171761,6782006,1,1,1
Free,171772,6781994,0,1,1
Bouygues,171796,6782037,1,1,1
Bouygues,171957,6788991,1,1,1
SFR,171959,6788969,1,1,1
Orange,171978,6788935,1,0,0
Orange,172162,6791923,1,1,0
Free,172387,6792340,0,1,1
Orange,172604,6790013,0,1,0
SFR,172623,6844930,1,0,0
Bouygues,172654,6787476,1,1,1
Orange,172656,6787481,1,1,0
SFR,172658,6787483,1,1,1
Free,172661,6787481,0,1,0
Orange,172704,6821215,1,1,0
Bouygues,172709,6787789,1,0,0
SFR,172752,6789969,1,1,1
Bouygues,172752,6789975,1,1,1
Free,172752,6789975,0,1,1
Orange,172913,6790956,1,1,1
Bouygues,172985,6818736,1,1,1
SFR,172994,6818732,1,1,1
Orange,173050,6788309,1,1,1
SFR,173052,6788222,1,1,1
Bouygues,173060,6788213,1,1,1
Orange,173095,6848546,0,0,1
SFR,173241,6794607,1,1,1
Bouygues,173241,6794609,1,1,1
Bouygues,173396,6780325,1,1,1
Orange,173408,6789627,1,1,1
SFR,173411,6780319,1,1,1
Orange,173418,6780330,1,1,0
Orange,173477,6815780,1,1,0
SFR,173572,6863604,1,1,1
Bouygues,173583,6863576,1,1,1
Orange,173679,6812660,1,1,1
Bouygues,173795,6846192,1,1,0
SFR,173795,6846192,0,1,0
Free,173796,6846193,0,1,0
Orange,173797,6846196,0,1,0
Orange,173881,6794655,1,1,0
Free,173906,6794633,0,1,1
Orange,173985,6808111,1,1,0
Orange,174101,6788281,1,1,1
SFR,174404,6819592,0,1,0
Orange,174846,6788347,1,1,1
Bouygues,174875,6855144,1,1,1
SFR,174875,6855144,1,1,1
Orange,175029,6790732,1,1,0
Bouygues,175043,6790725,1,1,1
Free,175044,6790725,0,1,1
SFR,175048,6790725,1,1,1
Orange,175168,6789869,1,1,0
Free,175215,6818660,0,1,1
Orange,175322,6818383,1,1,1
Orange,175412,6840209,1,1,1
Bouygues,175594,6813345,1,1,1
SFR,175594,6813345,1,1,1
Bouygues,175721,6777789,1,1,1
Free,175724,6777736,0,1,1
SFR,175759,6777765,1,1,1
Bouygues,175866,6857013,1,1,1
SFR,175866,6857013,1,1,1
Free,175896,6857044,0,1,1
SFR,176063,6788070,1,1,1
Bouygues,176097,6788098,1,1,1
Free,176281,6813698,0,1,1
Orange,176282,6813702,1,1,1
Orange,176287,6777968,1,1,1
